trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.5, 'e': 0.20597509820488347}",25,20,7.46007118391829,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421345}",30,8,-13.409455283276483,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.2018965179946554}",30,20,-1.3423151498008754,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,10,9.092883982873419,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361468}",20,0,12.883492493499633,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,13,11.291692889189529,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,13,3.027585201599484,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1920499086207541}",25,8,-26.036781512713443,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.19013898010152053}",20,8,6.207872306497426,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,0,7.548867224004561,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.18637397603941}",25,13,20.228381899072687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.1845195239929893}",20,3,-1.9777890673627303,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,14,22.965942662381764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,8,30.917007104019422,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149325}",20,15,9.670409743348072,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,3,33.4123356922803,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1755204006169969}",25,15,17.587705260651,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,20,10.841687043465107,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
